start_station_name,start_station_id
48 Ave & 37 St,6067.01
Whitney Ave & Ketcham Pl,6165.06
10 St & 7 Ave,3762.08
40 St & 3 Ave,3388.03
7 Ave & 62 St,2821.05
Crotona Park North & Prospect Ave,8236.01
Cadman Plaza E & Red Cross Pl,4821.06
Broadway & Furman Ave,4244.06
20 Ave & 42 St,7163.07
Strong St & University Ave,8707.04
Southern Blvd & E 175 St,8196.02
Parkside Ave & Flatbush Ave,3480.04
St Johns Pl & Utica Ave,3966.01
96 St & Northern Blvd,6660.07
E 182 St & Morris Ave,8494.01
Lewis Ave & Fulton St,4196.01
N 7 St & Driggs Ave,5340.01
Clinton Ave & Flushing Ave,4762.04
W 37 St & 10 Ave,6611.02
Melrose St & Broadway,4801.04
Ash St & Manhattan Ave,6019.04
Greene Ave & Nostrand Ave,4519.02
E 27 St & 1 Ave,6004.06
E 47 St & Park Ave,6584.12
W 113 St & Broadway,7713.01
Lexington Ave & E 26 St,6089.08
Cliff St & Fulton St,5065.14
Kent Ave & N 7 St,5489.03
Gerard Ave & E 146 St,7868.05
Pacific St & Nevins St,4362.04
E 68 St & 3 Ave,6896.16
W 34 St & 11 Ave,6578.01
32 Ave & 84 St,6636.04
W 25 St & 6 Ave,6215.04
Clark St & Henry St,4789.03
Huron St & Franklin St,5869.04
W 46 St & 11 Ave,6795.01
W 18 St & 9 Ave,6190.03
Irving Ave & Halsey St,4695.04
Main St & Plymouth St,4936.21
Central Park West & W 72 St,7141.07
Court St & Nelson St,4077.07
104 St & Northern Blvd,6651.01
Metropolitan Ave & Bedford Ave,5308.04
Chester Ave & 12 Ave,3135.04
Gansevoort St & Hudson St,6072.16
Fort Hamilton Pkwy & E 2 St,3280.04
Riverside Dr & Broadway,8616.06
McKibbin St & Manhattan Ave,4996.08
Macombs Rd & Featherbed Ln,8307.05
Dean St & Franklin Ave,4107.13
Lewis Ave & Kosciuszko St,4617.01
E 84 St & Park Ave,7243.04
Morris Ave & E 163 St,8036.05
Lincoln Pl & Classon Ave,3960.01
Central Ave & Woodbine St,4632.1
Grand Concourse & E 161 St,8021.11
50 St & 30 Ave,6735.03
56 St & Arnold Ave,5289.05
Caton Ave & Argyle Rd,3303.03
W 24 St & 7 Ave,6257.03
